id,store_id,name,sku,description,buy_price,fbuy_price,sell_price,sell_price_pos,fsell_price,fsell_price_pos,market_price,fmarket_price,comission,fcomission,loyalty_points,require_shipping,weight,min_order,max_order,non_taxable,track_inventory,stock_qty,low_stock_alert,accept_preorder,is_out_stock,published,published_date,fpublished_date,pos_sell_price_dynamic,pos_hidden,meta_keywords,meta_description,photo,photo_md,photo_xs,photo_width,photo_height,reviewer_rating,reviewer_total,viewed,viewed_time,copy_product_combo_id,status
267410,188333,Paket 2 Intisari Blackcurrent [Promo Juni],,,0.00,IDR 0,155000.00,155000.00,IDR 155.000,IDR 155.000,155000.00,IDR 155.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451b45e25de.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451b45e25de.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451b45e25de.png,1024,1245,0.0000,0,0,,,A
267411,188333,Paket 3 Intisari Blackcurrent [Promo Juni],,,0.00,IDR 0,215000.00,215000.00,IDR 215.000,IDR 215.000,215000.00,IDR 215.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451b155e456.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451b155e456.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451b155e456.png,1024,1245,0.0000,0,0,,,A
267412,188333,Paket Intisari Blackcurrent + Draft Beer [Promo Juni],,,0.00,IDR 0,105000.00,105000.00,IDR 105.000,IDR 105.000,105000.00,IDR 105.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451aebaacc0.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451aebaacc0.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451aebaacc0.png,1024,1255,0.0000,0,0,,,A
267413,188333,Paket Intisari Blackcurrent + Bintang Pilsener 620ml [Promo Juni],,,0.00,IDR 0,125000.00,125000.00,IDR 125.000,IDR 125.000,125000.00,IDR 125.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451aab417c1.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451aab417c1.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451aab417c1.png,1024,1222,0.0000,0,0,,,A
267414,188333,Paket 3 Atlas Rambutan [Promo Juni],,,0.00,IDR 0,238000.00,238000.00,IDR 238.000,IDR 238.000,238000.00,IDR 238.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451a8dd20d7.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451a8dd20d7.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451a8dd20d7.png,1024,1220,0.0000,0,0,,,A
267415,188333,Paket 3 Atlas Peach [Promo Juni],,,0.00,IDR 0,238000.00,238000.00,IDR 238.000,IDR 238.000,238000.00,IDR 238.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451a85bba20.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451a85bba20.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451a85bba20.png,1024,1220,0.0000,0,0,,,A
267416,188333,Paket 3 Atlas Rose Pink [Promo Juni],,,0.00,IDR 0,238000.00,238000.00,IDR 238.000,IDR 238.000,238000.00,IDR 238.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451a760a2a4.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451a760a2a4.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451a760a2a4.png,1024,1220,0.0000,0,0,,,A
267417,188333,Paket 3 Atlas Lychee [Promo Juni],,,0.00,IDR 0,238000.00,238000.00,IDR 238.000,IDR 238.000,238000.00,IDR 238.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451a6dabc34.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451a6dabc34.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451a6dabc34.png,1024,1220,0.0000,0,0,,,A
267418,188333,Paket 2 Atlas Lychee [Promo Juni],,,0.00,IDR 0,169000.00,169000.00,IDR 169.000,IDR 169.000,169000.00,IDR 169.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451a5ccf0a1.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451a5ccf0a1.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451a5ccf0a1.png,1024,1220,0.0000,0,0,,,A
267419,188333,Paket 2 Atlas Rose Pink [Promo Juni],,,0.00,IDR 0,169000.00,169000.00,IDR 169.000,IDR 169.000,169000.00,IDR 169.000,0.00,IDR 0,0.00,0,0.0000,1,0,0,0,0,0,0,1,1,2025-06-07,07-Jun-2025,0,0,,,68451a53575b3.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/md_68451a53575b3.png,https://d1d8o7q9jg8pjk.cloudfront.net/p/xs_68451a53575b3.png,1024,1220,0.0000,0,0,,,A
